MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km)
2009,ACURA,CSX,COMPACT,2,4,AS5,X,10.9,7.8,9.5,30,219
2009,ACURA,CSX,COMPACT,2,4,M5,X,10,7.6,8.9,32,205
2009,ACURA,CSX,COMPACT,2,4,M6,Z,11.6,8.1,10,28,230
2009,ACURA,MDX AWD,SUV,3.7,6,AS5,Z,15.4,11.8,13.8,20,317
2009,ACURA,RDX AWD TURBO,SUV,2.3,4,AS5,Z,14,11,12.7,22,292
2009,ACURA,RL AWD,MID-SIZE,3.7,6,AS5,Z,14.7,10.6,12.9,22,297
2009,ACURA,TL,MID-SIZE,3.5,6,AS5,Z,13.1,8.9,11.2,25,258
2009,ACURA,TL AWD,MID-SIZE,3.7,6,AS5,Z,13.8,9.6,11.9,24,274
2009,ACURA,TSX,COMPACT,2.4,4,AS5,Z,11,7.8,9.5,30,219
2009,ACURA,TSX,COMPACT,2.4,4,M6,Z,11.9,8.3,10.3,27,237
2009,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,AS6,Z,19.1,12.2,16,18,368
2009,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,M6,Z,20.8,13.7,17.6,16,405
2009,ASTON MARTIN,DBS #,TWO-SEATER,5.9,12,AS6,Z,20,13.1,16.9,17,389
2009,ASTON MARTIN,DBS #,TWO-SEATER,5.9,12,M6,Z,21.1,14.2,18,16,414
2009,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM6,Z,18.2,12.1,15.5,18,357
2009,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,19.3,12.7,16.3,17,375
2009,AUDI,A3,STATION WAGON - SMALL,2,4,AS6,Z,10.8,8.2,9.6,29,221
2009,AUDI,A3,STATION WAGON - SMALL,2,4,M6,Z,11.8,8,10.1,28,232
2009,AUDI,A3 QUATTRO,STATION WAGON - SMALL,2,4,AS6,Z,11,8.9,10,28,230
2009,AUDI,A3 QUATTRO,STATION WAGON - SMALL,3.2,6,AS6,Z,12.8,9.5,11.3,25,260
2009,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,2,4,AS6,Z,11.5,8.8,10.3,27,237
2009,AUDI,A4 CABRIOLET,SUBCOMPACT,2,4,AV,Z,10.3,7.8,9.2,31,212
2009,AUDI,A4 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AS6,Z,11.5,8.8,10.3,27,237
2009,AUDI,A4 CABRIOLET QUATTRO,SUBCOMPACT,3.1,6,AS6,Z,13.8,9.5,11.9,24,274
2009,AUDI,A4 QUATTRO,COMPACT,2,4,AS6,Z,11.5,8.8,10.3,27,237
2009,AUDI,A4 QUATTRO,COMPACT,3.2,6,AS6,Z,13.6,9.1,11.6,24,267
2009,AUDI,A5 QUATTRO,SUBCOMPACT,3.2,6,AS6,Z,13.6,9.1,11.6,24,267
2009,AUDI,A5 QUATTRO,SUBCOMPACT,3.2,6,M6,Z,14.3,9.1,12,24,276
2009,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,AS6,Z,14.7,10.4,12.8,22,294
2009,AUDI,A8,MID-SIZE,4.2,8,AS6,Z,14.7,10.4,12.8,22,294
2009,AUDI,A8L,FULL-SIZE,4.2,8,AS6,Z,14.7,10.4,12.8,22,294
2009,AUDI,A8L,FULL-SIZE,6,12,AS6,Z,18.2,12.2,15.5,18,357
2009,AUDI,Q7,SUV,3.6,6,AS6,Z,16.5,12.1,14.5,19,334
2009,AUDI,Q7,SUV,4.2,8,AS6,Z,17.9,13.1,15.7,18,361
2009,AUDI,R8,TWO-SEATER,4.2,8,AS6,Z,18.8,12.9,16.2,17,373
2009,AUDI,R8,TWO-SEATER,4.2,8,M6,Z,18.9,12.1,15.9,18,366
2009,AUDI,R8,TWO-SEATER,5.2,10,AS6,Z,18.3,13.1,16,18,368
2009,AUDI,R8,TWO-SEATER,5.2,10,M6,Z,21.1,13.6,17.7,16,407
2009,AUDI,S4 CABRIOLET,SUBCOMPACT,4.2,8,AS6,Z,17.2,11.3,14.6,19,336
2009,AUDI,S4 CABRIOLET,SUBCOMPACT,4.2,8,M6,Z,18,12.1,15.3,18,352
2009,AUDI,S5,SUBCOMPACT,4.2,8,AS6,Z,14.4,10.5,12.6,22,290
2009,AUDI,S5,SUBCOMPACT,4.2,8,M6,Z,16.8,11.1,14.2,20,327
2009,AUDI,S6,MID-SIZE,5.2,10,AS6,Z,16.9,12.2,14.8,19,340
2009,AUDI,S8,MID-SIZE,5.2,10,AS6,Z,18.4,12.7,15.8,18,363
2009,AUDI,TT COUPE,SUBCOMPACT,2,4,AS6,Z,10.3,7.5,9.1,31,209
2009,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2,4,AS6,Z,11,8.5,9.8,29,225
2009,AUDI,TT COUPE QUATTRO,SUBCOMPACT,3.2,6,AS6,Z,13.2,9.8,11.7,24,269
2009,AUDI,TT COUPE QUATTRO,SUBCOMPACT,3.2,6,M6,Z,14.2,9.6,12.1,23,278
2009,AUDI,TT ROADSTER,TWO-SEATER,2,4,AS6,Z,10.5,7.9,9.3,30,214
2009,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2,4,AS6,Z,11,8.5,9.8,29,225
2009,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,3.2,6,AS6,Z,13.2,9.8,11.7,24,269
2009,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,3.2,6,M6,Z,14.2,9.6,12.1,23,278
2009,BENTLEY,ARNAGE,MID-SIZE,6.8,8,AS6,Z,24.5,16.2,20.8,14,478
2009,BENTLEY,ARNAGE RL,FULL-SIZE,6.8,8,AS6,Z,24.9,15.5,20.7,14,476
2009,BENTLEY,AZURE,MID-SIZE,6.8,8,AS6,Z,24.9,15.5,20.7,14,476
2009,BENTLEY,BROOKLANDS,MID-SIZE,6.8,8,AS6,Z,24.5,16.2,20.8,14,478
2009,BENTLEY,CONTINENTAL FLYING SPUR,MID-SIZE,6,12,AS6,Z,23,13.9,18.9,15,435
2009,BENTLEY,CONTINENTAL GT,COMPACT,6,12,AS6,Z,22.4,13.6,18.5,15,426
2009,BENTLEY,CONTINENTAL GTC,COMPACT,6,12,AS6,Z,23,13.9,18.9,15,435
2009,BMW,128i CABRIOLET,SUBCOMPACT,3,6,A6,Z,12.9,8.8,11,26,253
2009,BMW,128i CABRIOLET,SUBCOMPACT,3,6,M6,Z,12.8,8.3,10.8,26,248
2009,BMW,128i COUPE,SUBCOMPACT,3,6,A6,Z,12.8,8.2,10.7,26,246
2009,BMW,128i COUPE,SUBCOMPACT,3,6,M6,Z,12.8,8.3,10.8,26,248
2009,BMW,135i CABRIOLET,SUBCOMPACT,3,6,A6,Z,13.4,9,11.4,25,262
2009,BMW,135i CABRIOLET,SUBCOMPACT,3,6,M6,Z,13.8,9,11.7,24,269
2009,BMW,135i COUPE,SUBCOMPACT,3,6,A6,Z,13.4,9.3,11.5,25,265
2009,BMW,135i COUPE,SUBCOMPACT,3,6,M6,Z,13.5,9.4,11.6,24,267
2009,BMW,323i SEDAN,COMPACT,2.5,6,A6,Z,12.7,8,10.6,27,244
2009,BMW,323i SEDAN,COMPACT,2.5,6,M6,Z,12.6,8.2,10.6,27,244
2009,BMW,328i CABRIOLET,SUBCOMPACT,3,6,A6,Z,12.9,8.7,11,26,253
2009,BMW,328i CABRIOLET,SUBCOMPACT,3,6,M6,Z,13.7,8.8,11.5,25,265
2009,BMW,328i COUPE,SUBCOMPACT,3,6,A6,Z,12.8,8.2,10.7,26,246
2009,BMW,328i COUPE,SUBCOMPACT,3,6,M6,Z,12.8,8.3,10.8,26,248
2009,BMW,328i SEDAN,COMPACT,3,6,A6,Z,12.8,8.2,10.7,26,246
2009,BMW,328i SEDAN,COMPACT,3,6,M6,Z,12.8,8.3,10.8,26,248
2009,BMW,328i xDRIVE COUPE,SUBCOMPACT,3,6,A6,Z,13.4,9.3,11.5,25,265
2009,BMW,328i xDRIVE COUPE,SUBCOMPACT,3,6,M6,Z,13.8,9,11.7,24,269
2009,BMW,328i xDRIVE SEDAN,COMPACT,3,6,A6,Z,13.4,9.3,11.5,25,265
2009,BMW,328i xDRIVE SEDAN,COMPACT,3,6,M6,Z,13.8,9,11.7,24,269
2009,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,3,6,A6,Z,13.4,9.3,11.5,25,265
2009,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,3,6,M6,Z,13.8,9,11.7,24,269
2009,BMW,335d SEDAN,COMPACT,3,6,A6,D,10.3,6.5,8.6,33,232
2009,BMW,335i CABRIOLET,SUBCOMPACT,3,6,A6,Z,13.4,9,11.4,25,262
2009,BMW,335i CABRIOLET,SUBCOMPACT,3,6,M6,Z,13.8,9,11.7,24,269
2009,BMW,335i COUPE,SUBCOMPACT,3,6,A6,Z,13.4,9,11.4,25,262
2009,BMW,335i COUPE,SUBCOMPACT,3,6,M6,Z,13.8,9,11.7,24,269
