MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS ,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km),,
2013,ACURA,ILX,COMPACT,2.0,4,AS5,Z,9.9,6.7,8.5,33,196,,
2013,ACURA,ILX,COMPACT,2.4,4,M6,Z,11.2,7.8,9.6,29,221,,
2013,ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6.1,5.8,6.0,47,138,,
2013,ACURA,MDX AWD,SUV - SMALL,3.7,6,AS6,Z,14.8,11.3,13.2,21,304,,
2013,ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.1,8.7,10.6,27,244,,
2013,ACURA,TL,MID-SIZE,3.5,6,AS6,Z,11.8,8.1,10.1,28,232,,
2013,ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,12.9,9.0,11.1,25,255,,
2013,ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,13.4,9.5,11.6,24,267,,
2013,ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.6,7.4,9.2,31,212,,
2013,ACURA,TSX,COMPACT,2.4,4,M6,Z,11.3,8.1,9.9,29,228,,
2013,ACURA,TSX,COMPACT,3.5,6,AS5,Z,12.1,8.3,10.4,27,239,,
2013,ACURA,ZDX AWD,SUV - SMALL,3.7,6,AS6,Z,14.3,10.4,12.5,23,288,,
2013,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.5,18,357,,
2013,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,,
2013,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354,,
2013,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,,
2013,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354,,
2013,AUDI,A3,STATION WAGON - SMALL,2.0,4,AS6,Z,10.8,8.2,9.6,29,221,,
2013,AUDI,A3,STATION WAGON - SMALL,2.0,4,M6,Z,11.8,8.0,10.1,28,232,,
2013,AUDI,A3 QUATTRO,STATION WAGON - SMALL,2.0,4,AM6,Z,11.0,8.9,10.0,28,230,,
2013,AUDI,A3 TDI CLEAN DIESEL,STATION WAGON - SMALL,2.0,4,AS6,D,7.9,5.7,6.9,41,186,,
2013,AUDI,A4,COMPACT,2.0,4,AV8,Z,9.9,7.4,8.8,32,202,,
2013,AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,28,230,,
