MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km)
2003,ACURA,1.7EL,COMPACT,1.7,4,A4,X,9.5,7.2,8.4,34,193
2003,ACURA,1.7EL,COMPACT,1.7,4,M5,X,9.1,7.3,8.3,34,191
2003,ACURA,3.2CL,COMPACT,3.2,6,AS5,Z,13.5,8.8,11.4,25,262
2003,ACURA,3.2CL,COMPACT,3.2,6,M6,Z,13.8,9.1,11.7,24,269
2003,ACURA,3.2TL,MID-SIZE,3.2,6,AS5,Z,13.5,8.8,11.4,25,262
2003,ACURA,3.5RL,MID-SIZE,3.5,6,A4,Z,14.8,10.7,13,22,299
2003,ACURA,MDX,SUV,3.5,6,A5,Z,15.7,11.1,13.6,21,313
2003,ACURA,NSX,SUBCOMPACT,3,6,AS4,Z,15.3,10.9,13.3,21,306
2003,ACURA,NSX,SUBCOMPACT,3.2,6,M6,Z,15.6,10.7,13.4,21,308
2003,ACURA,RSX,SUBCOMPACT,2,4,AS5,X,11,7.8,9.5,30,219
2003,ACURA,RSX,SUBCOMPACT,2,4,M5,X,10,7.8,9,31,207
2003,ACURA,RSX,SUBCOMPACT,2,4,M6,Z,11.1,8.2,9.8,29,225
2003,AUDI,A4,COMPACT,1.8,4,AV,Z,11.6,8.7,10.3,27,237
2003,AUDI,A4,COMPACT,3,6,AV,Z,13.2,9.1,11.4,25,262
2003,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,1.8,4,AS5,Z,13.1,9,11.3,25,260
2003,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,1.8,4,M5,Z,12.8,8.9,11,26,253
2003,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,3,6,AS5,Z,14.4,9.9,12.4,23,285
2003,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,3,6,M6,Z,15,10.3,12.9,22,297
2003,AUDI,A4 AVANT WAGON,STATION WAGON - SMALL,1.8,4,AV,Z,11.6,8.7,10.3,27,237
2003,AUDI,A4 CABRIOLET,COMPACT,1.8,4,AV,Z,11.6,8.6,10.2,28,235
2003,AUDI,A4 CABRIOLET,COMPACT,3,6,AV,Z,13,9.6,11.5,25,265
2003,AUDI,A4 QUATTRO,COMPACT,1.8,4,AS5,Z,13.1,9,11.3,25,260
2003,AUDI,A4 QUATTRO,COMPACT,1.8,4,M5,Z,12.8,8.9,11,26,253
2003,AUDI,A4 QUATTRO,COMPACT,3,6,AS5,Z,14.4,9.9,12.4,23,285
2003,AUDI,A4 QUATTRO,COMPACT,3,6,M6,Z,15,10.3,12.9,22,297
2003,AUDI,A6,MID-SIZE,3,6,AV,Z,13,9.6,11.5,25,265
2003,AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,3,6,AS5,Z,14.4,9.9,12.4,23,285
2003,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,AS5,Z,14.7,10.2,12.7,22,292
